student_id,datetime,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
S0156,2026-01-28 08:02:35,female,group C,some college,standard,completed,70,89,88
S0157,2026-01-28 08:02:36,female,group E,high school,free/reduced,completed,66,74,78
S0158,2026-01-28 08:02:37,male,group B,some college,free/reduced,none,60,60,60
S0159,2026-01-28 08:02:38,female,group B,associate's degree,standard,completed,61,86,87
S0160,2026-01-28 08:02:39,male,group D,associate's degree,free/reduced,none,66,62,64
S0161,2026-01-28 08:02:40,male,group B,associate's degree,free/reduced,completed,82,78,74
S0162,2026-01-28 08:02:41,female,group E,some college,free/reduced,completed,75,88,85
S0163,2026-01-28 08:02:42,male,group B,master's degree,free/reduced,none,49,53,52
S0164,2026-01-28 08:02:43,male,group C,high school,standard,none,52,53,49
S0165,2026-01-28 08:02:44,female,group E,master's degree,standard,none,81,92,91
S0166,2026-01-28 08:02:45,female,group C,bachelor's degree,standard,completed,96,100,100
S0167,2026-01-28 08:02:46,male,group C,high school,free/reduced,completed,53,51,51
S0168,2026-01-28 08:02:47,female,group B,master's degree,free/reduced,completed,58,76,78
S0169,2026-01-28 08:02:48,female,group B,high school,standard,completed,68,83,78
S0170,2026-01-28 08:02:49,female,group C,some college,free/reduced,completed,67,75,70
S0171,2026-01-28 08:02:50,male,group A,high school,standard,completed,72,73,74
S0172,2026-01-28 08:02:51,male,group E,some high school,standard,none,94,88,78
S0173,2026-01-28 08:02:52,female,group D,some college,standard,none,79,86,81
S0174,2026-01-28 08:02:53,female,group C,associate's degree,standard,none,63,67,70
S0175,2026-01-28 08:02:54,female,group C,bachelor's degree,free/reduced,completed,43,51,54
S0176,2026-01-28 08:02:55,female,group C,master's degree,standard,completed,81,91,87
S0177,2026-01-28 08:02:56,female,group B,high school,free/reduced,completed,46,54,58
S0178,2026-01-28 08:02:57,female,group C,associate's degree,standard,completed,71,77,77
S0179,2026-01-28 08:02:58,female,group B,master's degree,free/reduced,completed,52,70,62
S0180,2026-01-28 08:02:59,female,group D,some high school,standard,completed,97,100,100
S0181,2026-01-28 08:03:00,male,group C,master's degree,free/reduced,completed,62,68,75
S0182,2026-01-28 08:03:01,female,group C,some college,free/reduced,none,46,64,66
S0183,2026-01-28 08:03:02,female,group E,high school,standard,none,50,50,47
S0184,2026-01-28 08:03:03,female,group D,associate's degree,standard,none,65,69,70
S0185,2026-01-28 08:03:04,male,group C,some high school,free/reduced,completed,45,52,49
S0186,2026-01-28 08:03:05,male,group C,associate's degree,free/reduced,completed,65,67,65
S0187,2026-01-28 08:03:06,male,group E,high school,standard,none,80,76,65
S0188,2026-01-28 08:03:07,male,group D,some high school,standard,completed,62,66,68
S0189,2026-01-28 08:03:08,male,group B,some high school,free/reduced,none,48,52,45
S0190,2026-01-28 08:03:09,female,group C,bachelor's degree,standard,none,77,88,87
S0191,2026-01-28 08:03:10,female,group E,associate's degree,standard,none,66,65,69
S0192,2026-01-28 08:03:11,male,group D,some college,standard,completed,76,83,79
S0193,2026-01-28 08:03:12,female,group B,some high school,standard,none,62,64,66
S0194,2026-01-28 08:03:13,male,group D,some college,standard,completed,77,62,62
S0195,2026-01-28 08:03:14,female,group C,master's degree,standard,completed,69,84,85
S0196,2026-01-28 08:03:15,male,group D,associate's degree,standard,none,61,55,52
S0197,2026-01-28 08:03:16,male,group C,some high school,free/reduced,completed,59,69,65
S0198,2026-01-28 08:03:17,male,group E,high school,free/reduced,none,55,56,51
S0199,2026-01-28 08:03:18,female,group B,some college,free/reduced,none,45,53,55
S0200,2026-01-28 08:03:19,female,group B,bachelor's degree,free/reduced,none,78,79,76
S0201,2026-01-28 08:03:20,female,group C,associate's degree,standard,completed,67,84,86
S0202,2026-01-28 08:03:21,female,group D,some college,free/reduced,none,65,81,77
S0203,2026-01-28 08:03:22,male,group C,associate's degree,standard,none,69,77,69
S0204,2026-01-28 08:03:23,female,group B,associate's degree,standard,none,57,69,68
S0205,2026-01-28 08:03:24,male,group C,some college,standard,none,59,41,42
S0206,2026-01-28 08:03:25,male,group D,some high school,standard,completed,74,71,78
S0207,2026-01-28 08:03:26,male,group E,bachelor's degree,standard,none,82,62,62
S0208,2026-01-28 08:03:27,male,group E,high school,standard,completed,81,80,76
S0209,2026-01-28 08:03:28,female,group B,some college,free/reduced,none,74,81,76
S0210,2026-01-28 08:03:29,female,group B,some college,free/reduced,none,58,61,66
S0211,2026-01-28 08:03:30,male,group D,some high school,free/reduced,completed,80,79,79
S0212,2026-01-28 08:03:31,male,group C,some college,free/reduced,none,35,28,27
S0213,2026-01-28 08:03:32,female,group C,high school,free/reduced,none,42,62,60
S0214,2026-01-28 08:03:33,male,group C,associate's degree,free/reduced,completed,60,51,56
S0215,2026-01-28 08:03:34,male,group E,high school,standard,completed,87,91,81
S0216,2026-01-28 08:03:35,male,group B,some high school,standard,completed,84,83,75
S0217,2026-01-28 08:03:36,female,group E,associate's degree,free/reduced,completed,83,86,88
S0218,2026-01-28 08:03:37,female,group C,high school,free/reduced,none,34,42,39
S0219,2026-01-28 08:03:38,male,group B,high school,free/reduced,none,66,77,70
S0220,2026-01-28 08:03:39,male,group B,some high school,standard,completed,61,56,56
S0221,2026-01-28 08:03:40,female,group D,high school,standard,completed,56,68,74
S0222,2026-01-28 08:03:41,male,group B,associate's degree,standard,none,87,85,73
S0223,2026-01-28 08:03:42,female,group C,some high school,free/reduced,none,55,65,62
S0224,2026-01-28 08:03:43,male,group D,some high school,standard,none,86,80,75
S0225,2026-01-28 08:03:44,female,group B,associate's degree,standard,completed,52,66,73
S0226,2026-01-28 08:03:45,female,group E,master's degree,free/reduced,none,45,56,54
S0227,2026-01-28 08:03:46,female,group C,some college,standard,none,72,72,71
S0228,2026-01-28 08:03:47,male,group D,high school,standard,none,57,50,54
S0229,2026-01-28 08:03:48,male,group A,some high school,free/reduced,none,68,72,64
S0230,2026-01-28 08:03:49,female,group C,some college,standard,completed,88,95,94
S0231,2026-01-28 08:03:50,male,group D,some college,standard,none,76,64,66
S0232,2026-01-28 08:03:51,male,group C,associate's degree,standard,none,46,43,42
S0233,2026-01-28 08:03:52,female,group B,bachelor's degree,standard,none,67,86,83
S0234,2026-01-28 08:03:53,male,group E,some high school,standard,none,92,87,78
S0235,2026-01-28 08:03:54,male,group C,bachelor's degree,standard,completed,83,82,84
S0236,2026-01-28 08:03:55,male,group D,associate's degree,standard,none,80,75,77
S0237,2026-01-28 08:03:56,male,group D,bachelor's degree,free/reduced,none,63,66,67
S0238,2026-01-28 08:03:57,female,group D,some high school,standard,completed,64,60,74
S0239,2026-01-28 08:03:58,male,group B,some college,standard,none,54,52,51
S0240,2026-01-28 08:03:59,male,group C,associate's degree,standard,none,84,80,80
S0241,2026-01-28 08:04:00,male,group D,high school,free/reduced,completed,73,68,66
S0242,2026-01-28 08:04:01,female,group E,bachelor's degree,standard,none,80,83,83
S0243,2026-01-28 08:04:02,female,group D,high school,standard,none,56,52,55
S0244,2026-01-28 08:04:03,male,group E,some college,standard,none,59,51,43
S0245,2026-01-28 08:04:04,male,group D,some high school,standard,none,75,74,69
S0246,2026-01-28 08:04:05,male,group C,associate's degree,standard,none,85,76,71
S0247,2026-01-28 08:04:06,male,group E,associate's degree,standard,none,89,76,74
S0248,2026-01-28 08:04:07,female,group B,high school,standard,completed,58,70,68
S0249,2026-01-28 08:04:08,female,group B,high school,standard,none,65,64,62
S0250,2026-01-28 08:04:09,male,group C,high school,standard,none,68,60,53
S0251,2026-01-28 08:04:10,male,group A,some high school,standard,completed,47,49,49
S0252,2026-01-28 08:04:11,female,group D,some college,free/reduced,none,71,83,83
S0253,2026-01-28 08:04:12,female,group B,some high school,standard,completed,60,70,70
S0254,2026-01-28 08:04:13,male,group D,master's degree,standard,none,80,80,72
S0255,2026-01-28 08:04:14,male,group D,high school,standard,none,54,52,52
S0256,2026-01-28 08:04:15,female,group E,some college,standard,none,62,73,70
S0257,2026-01-28 08:04:16,female,group C,associate's degree,free/reduced,none,64,73,68
S0258,2026-01-28 08:04:17,male,group C,associate's degree,standard,completed,78,77,77
S0259,2026-01-28 08:04:18,female,group B,some college,standard,none,70,75,78
S0260,2026-01-28 08:04:19,female,group C,master's degree,free/reduced,completed,65,81,81
S0261,2026-01-28 08:04:20,female,group C,some high school,free/reduced,completed,64,79,77
S0262,2026-01-28 08:04:21,male,group C,some college,standard,completed,79,79,78
S0263,2026-01-28 08:04:22,female,group C,some high school,free/reduced,none,44,50,51
S0264,2026-01-28 08:04:23,female,group E,high school,standard,none,99,93,90
S0265,2026-01-28 08:04:24,male,group D,high school,standard,none,76,73,68
S0266,2026-01-28 08:04:25,male,group D,some high school,free/reduced,none,59,42,41
S0267,2026-01-28 08:04:26,female,group C,bachelor's degree,standard,none,63,75,81
S0268,2026-01-28 08:04:27,female,group D,high school,standard,none,69,72,77
S0269,2026-01-28 08:04:28,female,group D,associate's degree,standard,completed,88,92,95
S0270,2026-01-28 08:04:29,female,group E,some college,free/reduced,none,71,76,70
S0271,2026-01-28 08:04:30,male,group C,bachelor's degree,standard,none,69,63,61
S0272,2026-01-28 08:04:31,male,group C,some college,standard,none,58,49,42
S0273,2026-01-28 08:04:32,female,group D,associate's degree,free/reduced,none,47,53,58
S0274,2026-01-28 08:04:33,female,group D,some college,standard,none,65,70,71
S0275,2026-01-28 08:04:34,male,group B,some college,standard,completed,88,85,76
S0276,2026-01-28 08:04:35,male,group C,bachelor's degree,standard,none,83,78,73
S0277,2026-01-28 08:04:36,female,group C,some high school,standard,completed,85,92,93
S0278,2026-01-28 08:04:37,female,group E,high school,standard,completed,59,63,75
S0279,2026-01-28 08:04:38,female,group C,some high school,free/reduced,none,65,86,80
S0280,2026-01-28 08:04:39,male,group B,bachelor's degree,free/reduced,none,73,56,57
S0281,2026-01-28 08:04:40,male,group D,high school,standard,none,53,52,42
S0282,2026-01-28 08:04:41,male,group D,high school,standard,none,45,48,46
S0283,2026-01-28 08:04:42,female,group D,bachelor's degree,free/reduced,none,73,79,84
S0284,2026-01-28 08:04:43,female,group D,some college,free/reduced,completed,70,78,78
S0285,2026-01-28 08:04:44,female,group B,some high school,standard,none,37,46,46
S0286,2026-01-28 08:04:45,male,group B,associate's degree,standard,completed,81,82,82
S0287,2026-01-28 08:04:46,male,group E,associate's degree,standard,completed,97,82,88
S0288,2026-01-28 08:04:47,female,group B,some high school,standard,none,67,89,82
S0289,2026-01-28 08:04:48,male,group B,bachelor's degree,free/reduced,none,88,75,76
S0290,2026-01-28 08:04:49,male,group E,some high school,standard,completed,77,76,77
S0291,2026-01-28 08:04:50,male,group C,associate's degree,standard,none,76,70,68
S0292,2026-01-28 08:04:51,male,group D,some high school,standard,none,86,73,70
S0293,2026-01-28 08:04:52,male,group C,some high school,standard,completed,63,60,57
S0294,2026-01-28 08:04:53,female,group E,bachelor's degree,standard,none,65,73,75
S0295,2026-01-28 08:04:54,male,group D,high school,free/reduced,completed,78,77,80
S0296,2026-01-28 08:04:55,male,group B,associate's degree,free/reduced,none,67,62,60
S0297,2026-01-28 08:04:56,male,group A,some high school,standard,completed,46,41,43
S0298,2026-01-28 08:04:57,male,group E,associate's degree,standard,completed,71,74,68
S0299,2026-01-28 08:04:58,male,group C,high school,free/reduced,completed,40,46,50
S0300,2026-01-28 08:04:59,male,group D,associate's degree,free/reduced,none,90,87,75
S0301,2026-01-28 08:05:00,male,group A,some college,free/reduced,completed,81,78,81
S0302,2026-01-28 08:05:01,male,group D,some high school,free/reduced,none,56,54,52
S0303,2026-01-28 08:05:02,female,group C,associate's degree,standard,completed,67,84,81
S0304,2026-01-28 08:05:03,male,group B,associate's degree,standard,none,80,76,64
S0305,2026-01-28 08:05:04,female,group C,associate's degree,standard,completed,74,75,83
S0306,2026-01-28 08:05:05,male,group A,some college,standard,none,69,67,69
S0307,2026-01-28 08:05:06,male,group E,some college,standard,completed,99,87,81
S0308,2026-01-28 08:05:07,male,group C,some high school,standard,none,51,52,44
S0309,2026-01-28 08:05:08,female,group B,associate's degree,free/reduced,none,53,71,67
S0310,2026-01-28 08:05:09,female,group D,high school,free/reduced,none,49,57,52
S0311,2026-01-28 08:05:10,female,group B,associate's degree,standard,none,73,76,80
S0312,2026-01-28 08:05:11,male,group B,bachelor's degree,standard,none,66,60,57
S0313,2026-01-28 08:05:12,male,group D,bachelor's degree,standard,completed,67,61,68
S0314,2026-01-28 08:05:13,female,group C,associate's degree,free/reduced,completed,68,67,69
S0315,2026-01-28 08:05:14,female,group C,bachelor's degree,standard,completed,59,64,75
S0316,2026-01-28 08:05:15,male,group C,high school,standard,none,71,66,65
S0317,2026-01-28 08:05:16,female,group D,master's degree,standard,completed,77,82,91
S0318,2026-01-28 08:05:17,male,group C,associate's degree,standard,none,83,72,78
S0319,2026-01-28 08:05:18,male,group B,bachelor's degree,standard,none,63,71,69
S0320,2026-01-28 08:05:19,female,group D,associate's degree,free/reduced,none,56,65,63
S0321,2026-01-28 08:05:20,female,group C,high school,free/reduced,completed,67,79,84
S0322,2026-01-28 08:05:21,female,group E,high school,standard,none,75,86,79
S0323,2026-01-28 08:05:22,female,group C,some college,standard,none,71,81,80
S0324,2026-01-28 08:05:23,female,group C,some high school,free/reduced,none,43,53,53
S0325,2026-01-28 08:05:24,female,group C,high school,free/reduced,none,41,46,43
S0326,2026-01-28 08:05:25,female,group C,some college,standard,none,82,90,94
S0327,2026-01-28 08:05:26,male,group C,some college,standard,none,61,61,62
S0328,2026-01-28 08:05:27,male,group A,some college,free/reduced,none,28,23,19
S0329,2026-01-28 08:05:28,male,group C,associate's degree,standard,completed,82,75,77
S0330,2026-01-28 08:05:29,female,group B,some high school,standard,none,41,55,51
S0331,2026-01-28 08:05:30,male,group C,high school,standard,none,71,60,61
S0332,2026-01-28 08:05:31,male,group C,associate's degree,standard,none,47,37,35
S0333,2026-01-28 08:05:32,male,group E,associate's degree,standard,completed,62,56,53
S0334,2026-01-28 08:05:33,male,group B,associate's degree,standard,none,90,78,81
S0335,2026-01-28 08:05:34,female,group C,bachelor's degree,standard,none,83,93,95
S0336,2026-01-28 08:05:35,female,group B,some college,free/reduced,none,61,68,66
S0337,2026-01-28 08:05:36,male,group D,some high school,standard,completed,76,70,69
S0338,2026-01-28 08:05:37,male,group C,associate's degree,standard,none,49,51,43
S0339,2026-01-28 08:05:38,female,group B,some high school,free/reduced,none,24,38,27
S0340,2026-01-28 08:05:39,female,group D,some high school,free/reduced,completed,35,55,60
S0341,2026-01-28 08:05:40,male,group C,high school,free/reduced,none,58,61,52
S0342,2026-01-28 08:05:41,female,group C,high school,standard,none,61,73,63
S0343,2026-01-28 08:05:42,female,group B,high school,standard,completed,69,76,74
S0344,2026-01-28 08:05:43,male,group D,associate's degree,standard,completed,67,72,67
S0345,2026-01-28 08:05:44,male,group D,some college,standard,none,79,73,67
S0346,2026-01-28 08:05:45,female,group C,high school,standard,none,72,80,75
S0347,2026-01-28 08:05:46,male,group B,some college,standard,none,62,61,57
S0348,2026-01-28 08:05:47,female,group C,bachelor's degree,standard,completed,77,94,95
S0349,2026-01-28 08:05:48,male,group D,high school,free/reduced,none,75,74,66
S0350,2026-01-28 08:05:49,male,group E,associate's degree,standard,none,87,74,76
S0351,2026-01-28 08:05:50,female,group B,bachelor's degree,standard,none,52,65,69
S0352,2026-01-28 08:05:51,male,group E,some college,standard,none,66,57,52
S0353,2026-01-28 08:05:52,female,group C,some college,standard,completed,63,78,80
S0354,2026-01-28 08:05:53,female,group C,associate's degree,standard,none,46,58,57
S0355,2026-01-28 08:05:54,female,group C,some college,standard,none,59,71,70
S0356,2026-01-28 08:05:55,female,group B,bachelor's degree,standard,none,61,72,70
